"","X","x"
"5111","rjags",1477
"1148","base64enc",1464
"2037","doBy",1454
"5677","sna",1446
"5236","rpart.plot",1436
"4385","PerformanceAnalytics",1434
"2777","GPArotation",1433
"4608","prodlim",1421
"1042","animation",1418
"5811","splancs",1409
"3320","lava",1405
"1441","cairoDevice",1394
"4051","NLP",1388
"980","AER",1379
"4525","polyclip",1374
"5361","RWekajars",1373
"3138","ipred",1354
"3274","ks",1334
"6238","twitteR",1334
"2496","fpc",1333
"997","akima",1332
"3700","microbenchmark",1308
"5267","rrcov",1303
"2316","ez",1302
"3736","miscTools",1291
"2408","fGarch",1284
"4470","plm",1277
"4770","R2WinBUGS",1266
"3124","intervals",1264
"1724","corrplot",1258
"2041","doMC",1252
"6211","TSP",1248
"2378","fda",1223
"5180","ROAuth",1222
"2691","GGally",1221
"4324","pbivnorm",1219
"1824","DAAG",1206
"3160","ISLR",1204
"3574","maxLik",1190
"4090","nortest",1182
"1440","Cairo",1175
"4792","RandomFields",1169
"5252","RPostgreSQL",1163
"4526","polycor",1157
"4325","pbkrtest",1154
"2669","geoR",1138
"2399","ff",1136
"5515","sendmailR",1128
"4746","R.matlab",1122
"3606","MCMCpack",1116
"3307","lars",1104
"3889","msm",1085
"4761","R2jags",1085
"1226","bdsmatrix",1084
"4095","np",1080
"5562","shapefiles",1079
"6117","tkrplot",1075
"988","agricolae",1064
"2844","gsl",1060
"4300","pastecs",1057
"1202","BBmisc",1030
"3585","mboost",1027
"1156","BatchJobs",1025
"2871","gWidgets",1024
"6053","tensor",1017
"4679","pwr",1004
"2757","gmp",997
"2113","earth",986
"2329","fail",984
"3785","mlogit",984
"4638","pscl",983
"3136","iplots",980
"1635","codetools",974
"4966","RefManageR",974
"5158","Rmpi",973
"2875","gWidgetsRGtk2",968
"3993","ncdf",967
"2590","gamlss.dist",963
"1707","copula",961
"2585","gamlss",957
"3620","mda",954
"5060","Rglpk",938
"6187","TSA",935
"3828","moments",934
"1723","corrgram",929
"2720","glasso",921
"6182","truncnorm",918
"4480","plotmo",912
"4760","R2HTML",912
"4023","network",909
"2811","gridBase",906
"3199","JGR",905
"3107","inline",901
"2343","faraway",899
"4810","RANN",898
"3912","multicool",887
"3259","knitcitations",881
"2358","fastmatch",879
"6450","Zelig",877
"5868","stargazer",867
"3179","itertools",866
"4696","qgraph",865
"6283","vars",863
"1018","amap",860
"1921","descr",860
"2107","dynlm",858
"4176","openintro",853
"3933","MuMIn",850
"1854","date",849
"5682","snowfall",847
"2355","fastICA",846
"2706","ggthemes",845
"1886","Deducer",842
"3507","magic",837
"3095","ineq",817
"2126","Ecdat",812
"4197","optimx",812
"6062","testit",812
"2997","HSAUR",805
"5338","rugarch",802
"5407","sas7bdat",802
"3196","JavaGD",799
"1433","ca",796
"3181","its",795
"4045","nleqslv",793
"951","ada",786
"3604","MCMCglmm",786
"1091","arulesViz",783
"6014","systemfit",782
"4330","PBSmapping",781
"5292","Rserve",780
"1203","bbmle",776
"1383","bootstrap",776
"5551","sgeostat",772
"1575","classInt",768
"5054","rgenoud",759
"4528","polynom",751
"3955","mvnormtest",750
"5512","semPlot",750
"5193","robust",749
"1590","clue",748
"4823","rasterVis",744
"4449","pixmap",739
"1021","Amelia",737
"2030","DMwR",733
"2938","HH",732
"5057","rggobi",730
"6307","verification",730
"3486","ltm",728
"3638","memisc",727
"6020","tables",713
"6032","tau",710
"3013","huge",708
"4692","qdap",707
"3956","mvoutlier",700
"3559","Matching",698
"6047","TeachingDemos",697
"3580","MBESS",695
"2624","geepack",694
"1993","dismo",693
"4029","neuralnet",693
"2220","epicalc",687
"5711","som",684
"5305","Rsolnp",682
"6319","vioplot",681
"1051","aod",680
"6246","ucminf",680
"3843","mosaic",678
"4050","nloptr",677
"2450","flexclust",673
"1562","CircStats",672
"6176","tripack",672
"4296","partykit",671
"2164","ElemStatLearn",668
"1793","cubature",667
"5182","robCompositions",661
"6185","trust",658
"3652","metafor",654
"6291","vcdExtra",654
"6406","WriteXLS",654
"2622","gee",652
"4522","polspline",650
"1276","biglm",649
"4080","nor1mix",648
"5157","Rmpfr",647
"969","adehabitatLT",644
"1173","bayesm",642
"2674","geosphere",640
"4212","ordinal",640
"5561","shape",639
"5441","sciplot",637
"1269","biclust",634
"5676","sn",634
"1432","C50",632
"5234","rpanel",628
"2089","dtw",627
"2201","energy",626
"3745","mitools",624
"2548","fUnitRoots",623
"937","acepack",621
"5219","Rook",620
"2129","ecodist",618
"2238","ergm",614
"5941","SuppDists",613
"4370","penalized",611
"5394","sampling",610
"3560","MatchIt",609
"2128","Ecfun",608
"6305","VennDiagram",608
"4237","outliers",604
"5631","SkewHyperbolic",602
"993","AICcmodavg",601
"2643","GeneralizedHyperbolic",597
"6236","tweedie",597
"1480","cba",596
"2308","extrafont",593
"2007","DistributionUtils",591
"6114","tis",591
"4452","pkgmaker",590
"5130","rlecuyer",589
"5584","signal",589
"1328","bit64",584
"5366","rworldmap",583
"2263","evd",581
"5066","RGraphics",579
"2998","HSAUR2",578
"3480","lsmeans",578
"1443","calibrate",574
"2419","filehash",574
"5145","rmeta",574
"965","adegenet",573
"3324","lawstat",573
"2588","gamlss.data",571
"3645","meta",570
"3721","minpack.lm",569
"4742","R.cache",566
"5455","scrypt",566
"2501","fpp",561
"973","ADGofTest",556
"2538","fts",552
"1609","clv",551
"4693","qdapDictionaries",549
"4712","qtl",549
"4178","openNLP",548
"6135","topicmodels",548
"3784","mlmRev",547
"5492","segmented",547
"1268","bibtex",545
"6376","WGCNA",543
"2301","expsmooth",541
"1107","astsa",540
"5514","semTools",540
"2466","fma",538
"3303","languageR",538
"4650","pspline",536
"4689","qcc",536
"2478","fOptions",534
"3020","hwriter",534
"2670","geoRglm",533
"5543","setRNG",533
"5336","Rttf2pt1",529
"1119","automap",528
"1199","BB",527
"3243","kinship2",527
"3323","lavaan.survey",526
"3246","kknn",525
"4505","pmml",525
"2735","glmmML",524
"4676","pvclust",524
"2439","fit.models",523
"4694","qdapTools",522
"3568","MatrixModels",521
"2243","eRm",519
"3640","MEMSS",519
"5814","spls",519
"3079","igraphdata",517
"2665","geometry",516
"3238","KFAS",516
"2218","Epi",515
"2226","epiR",514
"2387","fdrtool",514
"4401","pgirmess",514
"1303","BiodiversityR",513
"4970","registry",513
"2100","dynamicTreeCut",512
"4034","nFactors",511
"4520","poLCA",511
"4578","pracma",511
"1410","BRugs",510
"2537","fTrading",510
"3366","lhs",510
"4725","Quandl",507
"4413","pheatmap",506
"6306","venneuler",506
"1192","BayesX",505
"4833","rbenchmark",505
"949","actuar",503
"4475","plot3D",503
"5389","sampleSelection",501
"2421","fImport",499
"3692","mi",499
"3445","lokern",498
"2449","flashClust",495
"5528","seqinr",495
"952","adabag",491
"3473","lsa",491
"4980","relations",490
"1015","alr4",489
"3879","MSBVAR",489
"966","adehabitat",486
"3402","lmerTest",486
"1742","coxme",485
"1676","CompQuadForm",483
"2626","geiger",483
"3148","irr",482
"3913","multicore",481
"2309","extrafontdb",480
"2697","ggm",480
"5469","SDMTools",480
"6183","truncreg",480
"6309","VGAMdata",480
"1014","alr3",478
"4794","randomForestSRC",478
"2927","heplots",477
"2443","fitdistrplus",475
"3444","logspline",474
"2646","genetics",469
"1647","colorRamps",467
"5880","statnet.common",467
"2347","fAssets",465
"4749","R.rsp",465
"3852","MplusAutomation",464
"4465","playwith",464
"1147","base64",463
"1096","ash",462
"2432","FinTS",462
"3564","matlab",462
"1949","diagram",461
"2901","hash",461
"2344","fArma",460
"4179","openNLPdata",460
"5301","RSNNS",460
"4173","openair",459
"3313","latentnet",458
"5206","rockchalk",458
"3764","mixtools",456
"2692","ggdendro",455
"5879","statnet",454
"2615","gcookbook",452
"2398","fExtremes",451
"5300","rsm",451
"1223","BDgraph",450
"1350","BMA",450
"5263","RQuantLib",450
"5317","rstudioapi",449
"1189","BayesTree",448
"3267","KoNLP",448
"4200","optmatch",448
"6254","unmarked",448
"6094","tikzDevice",447
"5984","svUnit",444
"2161","elasticnet",443
"1974","diptest",441
"3258","KMsurv",441
"3174","ISwR",439
"3831","MonetDB.R",438
"2179","emdbook",434
"3309","lasso2",434
"3830","mondate",434
"3265","kohonen",433
"4803","randtoolbox",433
"1450","candisc",432
"5154","rmongodb",430
"2375","fCopulae",429
"2952","highlight",426
"4270","pander",426
"984","AGD",425
"1384","Boruta",424
"2404","fftw",422
"1913","denstrip",421
"2499","fPortfolio",421
"4132","nws",421
"5137","Rmalschains",421
"5781","spd",421
"1601","clusterSim",420
"2346","fAsianOptions",420
"3389","lisrelToR",420
"5327","RTextTools",420
"2312","extRemes",419
"5592","SimComp",419
"4591","prettyR",418
"6356","waveslim",418
"1795","Cubist",417
"5173","rngtools",417
"1563","circular",415
"1002","AlgDesign",413
"4764","R2OpenBUGS",412
"5105","RItools",412
"2532","FSelector",411
"6068","texreg",411
"2039","DoE.base",410
"3030","hydroTSM",410
"2754","gmm",409
"2596","gamm4",408
"1508","cem",407
"3746","mix",406
"2472","fMultivar",405
"5610","simsem",405
"1792","ctv",402
"4269","pan",402
"5220","rootSolve",402
"3231","Kendall",400
"6313","VIM",400
"3861","MPV",399
"5174","rngWELL",398
"5544","sets",398
"6054","tensorA",398
"1597","clusterGeneration",397
"3152","isa2",397
"4705","qpcR",397
"6378","WhatIf",397
"1067","aqp",396
"1528","changepoint",396
"2547","functional",395
"4842","rbounds",392
"2579","GAMBoost",391
"3368","LiblineaR",391
"6090","tiff",391
"4192","optextras",390
"1362","bnlearn",389
"4149","odfWeave",389
"2227","epitools",388
"3577","MBA",388
"5069","RGtk2Extras",388
"5974","svGUI",388
"4024","networkDynamic",387
"2447","FKF",386
"4220","orloca",386
"4729","QuantPsyc",385
"3986","NbClust",384
"5310","rsprng",384
"2023","dlm",383
"2474","fNonlinear",383
"1295","binom",381
"5280","RSAGA",381
"4312","pbapply",379
"2237","erer",378
"1251","betareg",377
"3319","latticist",377
"4240","oz",377
"5351","Rvmmin",377
"5928","subplex",376
"1092","asbio",375
"4439","phytools",374
"5321","Rsymphony",373
"5721","sos",373
"2513","FRB",372
"5627","sjPlot",372
"1231","beanplot",371
"2469","fmsb",371
"3467","lpSolveAPI",370
"4441","picante",370
"4457","PKPDmodels",370
"4478","plotKML",368
"4856","Rcgmin",368
"2709","ghyp",366
"3991","NCBI2R",364
"4529","PolynomF",364
"4637","PSCBS",363
"5637","Sleuth2",363
"6057","tergm",363
"2211","entropy",362
"3429","logcondens",361
"1247","bestglm",360
"2270","evir",360
"2400","ffbase",360
"2065","drc",359
"3286","labdsv",359
"4408","phangorn",359
"1943","dfoptim",357
"2350","fastcluster",357
"3027","hydroGOF",357
"1914","DEoptim",356
"3573","maxent",356
"970","adehabitatMA",355
"2328","Fahrmeir",354
"3917","multilevel",354
"1468","catdata",353
"3483","lsr",353
"6427","XML2R",352
"3814","modeest",351
"2683","getopt",350
"2779","gpclib",350
"5003","repmis",349
"916","timsac",348
"2519","fRegression",348
"5009","reports",347
"5028","Rfacebook",346
"967","adehabitatHR",345
"3826","mokken",342
"2047","doRNG",341
"4181","OpenStreetMap",341
"6030","taRifx",340
"2865","gvlma",338
"3336","lda",338
"3957","mvpart",338
"5915","stringdist",338
"5990","SweaveListingUtils",338
"2075","dse",335
"3347","leafletR",335
"3411","lmomco",335
"6229","tuneR",335
"2524","FrF2",334
"4331","PBSmodelling",334
"2666","geomorph",333
"1482","CCA",331
"1955","DiceKriging",331
"2851","gstudio",330
"1319","bipartite",329
"3895","mstate",329
"1953","DiceDesign",327
"1961","DierckxSpline",325
"2396","fExoticOptions",325
"3536","maptree",325
"2728","glm2",324
"1412","BSDA",323
"1887","DeducerExtras",323
"2370","fBonds",322
"2630","GenABEL",321
"3739","missMDA",321
"5916","stringi",321
"2918","hdrcde",320
"5295","RSGHB",316
"6265","useful",316
"2239","ergm.count",315
"4063","NMF",314
"4546","popgraph",313
"5745","sparr",313
"6361","WDI",313
"5763","SpatialEpi",311
"6079","tgp",311
"981","afex",310
"3031","HyperbolicDist",310
"3414","lmPerm",310
"4743","R.devices",310
"4920","Rcsdp",309
"5870","startupmsg",309
"1064","apt",307
"2876","gWidgetstcltk",306
"3469","lqa",305
"6131","tmvtnorm",304
"2641","GeneNet",303
"2552","futile.logger",302
"1696","constrainedKriging",301
"2190","emoa",301
"1779","crs",300
"1336","BLCOP",299
"2639","Geneland",299
"2671","georob",298
"5094","RInside",298
"5434","schoolmath",297
"1265","BHH2",294
"4973","regress",294
"1673","compositions",293
"4583","PredictABEL",293
"1637","coefplot",291
"1678","compute.es",291
"5261","RQDA",291
"3065","ICS",290
"4144","oce",290
"5248","RPMG",290
"1560","circlize",289
"2097","dyn",289
"6282","VarianceGamma",289
"6321","visreg",289
"2741","glmulti",288
"4448","PivotalR",288
"6075","tfplot",288
"2054","downloader",287
"2815","gridSVG",287
"1367","boilerpipeR",286
"1414","BsMD",285
"2621","gdistance",285
"1232","bear",284
"1662","compare",284
"2807","gRbase",284
"5225","ROracle",284
"6199","tseriesChaos",284
"4653","psy",283
"5356","Rwave",283
"1474","catR",281
"4268","pamr",281
"6128","tm.plugin.webmining",281
"2663","GEOmap",280
"1550","choroplethr",279
"1616","cmprsk",279
"1741","CoxBoost",279
"1687","conf.design",278
"6104","timereg",278
"3069","IDPmisc",277
"4877","RcmdrPlugin.KMggplot2",277
"3695","micEcon",276
"3729","mirt",276
"3756","mixOmics",276
"3449","longitudinal",275
"5341","runjags",275
"6354","wavelets",275
"919","abc",274
"2204","ENmisc",274
"5517","sensitivity",274
"1991","DiscriMiner",273
"5829","spsurvey",272
"1843","DataCombine",271
"2632","genalg",271
"3601","mcmc",270
"5799","spgrass6",270
"6151","TraMineR",270
"2167","elliptic",269
"6076","tframe",269
"1103","aster",268
"1420","bstats",268
"1611","cmaes",268
"5563","shapes",268
"4293","partitions",267
"1314","biOps",266
"2003","distr",266
"2058","dplR",266
"5049","RGCCA",266
"944","acs",265
"2705","ggtern",265
"968","adehabitatHS",264
"5767","spatialprobit",264
"1537","chemometrics",263
"1872","DCluster",263
"4055","nls2",263
"5775","spBayes",263
"1976","directlabels",262
"2899","HardyWeinberg",262
"3033","hypergeo",262
"5070","RH2",262
"5436","schwartz97",262
"5815","splus2R",262
"5885","stepPlr",262
"6440","yhatr",262
"2966","HiveR",261
"3341","LDheatmap",261
"4896","RcmdrPlugin.temis",261
"1526","ChainLadder",260
"2284","exactRankTests",260
"2391","feature",260
"3297","lambda.r",260
"5467","sde",260
"1956","DiceOptim",259
"4875","RcmdrPlugin.HH",259
"3379","limSolve",258
"3586","mc2d",258
"4733","quantspec",258
"1267","BiasedUrn",257
"1697","contfrac",257
"2569","GA",257
"3409","lmodel2",257
"4979","relaimpo",256
"3066","ICSNP",255
"4182","openxlsx",255
"6367","weightedKmeans",255
"4367","pegas",254
"4869","RcmdrPlugin.DoE",254
"5284","rscproxy",254
"6036","taxize",254
"1245","Bessel",253
"1815","cvTools",252
"5020","ResourceSelection",252
"6196","tsDyn",252
"1538","ChemometricsWithR",251
"4620","ProjectTemplate",251
"1439","CADFtest",250
"3007","hts",250
"4129","nutshell",250
"2091","dummies",249
"3075","ifultools",249
"3552","MARSS",249
"5764","SpatialExtremes",249
"6162","treemap",249
"1489","ccgarch",248
"3362","lgarch",248
"5083","ridge",248
"5400","samr",248
"6357","wavethresh",248
"1081","aroma.core",247
"1500","CDM",247
"3941","MVA",247
"2631","GenABEL.data",246
"5634","skmeans",246
"1093","ascii",245
"2667","geonames",245
"2970","hmeasure",245
"5851","SSN",245
"4201","optparse",244
"2441","FitAR",243
"3434","LogicReg",243
"6069","textcat",243
"1541","ChemoSpec",242
"2896","haplo.stats",242
"3904","multcompView",242
"6370","weights",242
"1208","BCA",241
"2554","futile.options",241
"2679","GeoXp",241
"4912","RcppGSL",241
"1784","cshapes",240
"3809","MNP",240
"4817","RArcInfo",240
"3139","IPSUR",239
"3998","ncf",239
"4130","nutshell.audioscrobbler",239
"4588","PresenceAbsence",239
"2377","FD",238
"2379","fda.usc",238
"2584","gamlr",238
"3143","irace",238
"1063","apsrtable",237
"2492","fortunes",237
"2602","gap",237
"6173","trimcluster",237
"1998","Distance",236
"5804","sphet",236
"5831","spTimer",236
"979","ads",235
"1027","AMORE",235
"4477","plotGoogleMaps",235
"5895","stochvol",235
"1166","bayesGARCH",234
"1171","bayesLife",234
"1246","BEST",234
"3401","LMERConvenienceFunctions",234
"3702","micromap",234
"4001","ncvreg",234
"4131","nutshell.bbdb",234
"6392","wmtsa",234
"1234","beeswarm",233
"1237","Benchmarking",233
"4058","nlstools",233
"5491","seg",233
"1309","biomod2",232
"3410","lmom",232
"5521","SensoMineR",232
"6403","wq",232
"2960","HistData",231
"1113","AUC",230
"1626","cobs",230
"2235","equivalence",230
"3201","JM",230
"5133","RLRsim",230
"2797","gRain",229
"3679","mFilter",229
"4619","proj4",229
"4865","RcmdrPlugin.BCA",229
"5275","rrlda",229
"1458","CARBayes",228
"4540","popbio",228
"5420","scagnostics",228
"2636","GeneCycle",227
"3490","ltsa",227
"5490","seewave",227
"5813","splm",227
"1277","bigmemory",226
"1734","countrycode",226
"2224","EpiModel",226
"4744","R.filesets",226
"4874","RcmdrPlugin.EZR",226
"4876","RcmdrPlugin.IPSUR",226
"5289","RSEIS",226
"2586","gamlss.add",225
"6026","TAM",225
"1090","arulesSequences",224
"2984","homals",224
"3412","Lmoments",224
"2040","DoE.wrapper",223
"2264","evdbayes",223
"1054","apcluster",222
"3261","knitrBootstrap",222
"3546","MarkedPointProcess",222
"6037","Taxonstand",222
"2878","GWmodel",221
"4686","QCA",221
"4881","RcmdrPlugin.MPAStats",221
"5717","soobench",221
"1918","depmixS4",220
"2734","glmmLasso",220
"3525","MAPA",220
"4552","portfolio",220
"6200","tsfa",220
"1452","caper",219
"2467","FME",219
"1610","clValid",218
"2409","FGN",218
"5029","rFerns",218
"994","AID",217
"1097","aspace",217
"1866","dbmss",217
"3045","ibdreg",217
"4175","opencpu",217
"3450","longitudinalData",216
"4447","pitchRx",216
"5685","SNPassoc",216
"1502","CDVine",215
"1583","clinfun",215
"3819","ModelMap",215
"5296","RSiena",215
"5345","RVAideMemoire",215
"5458","sda",215
"2657","GenSA",214
"3082","Imap",214
"4571","ppls",214
"5047","rgbif",214
"5494","Sejong",214
"6397","wordnet",214
"6457","zipcode",214
"1892","DeducerText",213
"4753","R2admb",213
"6170","triangle",213
"1365","boa",212
"1407","Brobdingnag",212
"2006","distrEx",212
"3512","mailR",212
"4319","pbdMPI",212
"964","ade4TkGUI",211
"2922","heatmap.plus",211
"3619","McSpatial",211
"4231","osmar",211
"4666","ptw",211
"5005","ReporteRs",211
"1218","bcp",210
"4254","PairedData",210
"2553","futile.matrix",209
"3147","irlba",209
"4527","polyCub",209
"4657","psychotools",209
"5800","spgwr",209
"6058","termstrc",209
"2173","EMA",208
"3161","ismev",208
"5367","rworldxtra",208
"5846","SSDforR",208
"1029","anacor",207
"1165","BayesFactor",207
"1436","cacheSweave",207
"2732","glmmBUGS",207
"3202","JMbayes",207
"3495","Luminescence",207
"4924","rda",207
"5619","sirt",207
"2026","dlnm",206
"2842","GSIF",206
"2847","gsmoothr",206
"4238","OUwie",206
"4662","PTAk",206
"5147","rmgarch",206
"5319","RSurvey",206
"6127","tm.plugin.mail",206
"2259","EvalEst",205
"3864","mratios",205
"4334","pcalg",205
"5959","survivalROC",205
"6034","tawny",205
"1211","BCE",204
"1331","biwavelet",204
"3272","KRLS",204
"5140","RMAWGEN",204
"5638","Sleuth3",204
"1306","biom",203
"1539","ChemometricsWithRData",203
"3268","koRpus",203
"3548","markovchain",203
"3834","monomvn",203
"4709","QRM",203
"4745","R.huge",203
"4782","rainbow",203
"1699","contrast",202
"1871","dclone",202
"1880","deal",202
"1954","DiceEval",202
"2810","Grid2Polygons",202
"3502","MAd",202
"4602","prob",202
"5346","Rvcg",202
"6329","VLMC",202
"1176","bayesmix",201
"1361","BMS",201
"2001","distillery",201
"2539","ftsa",201
"5970","svd",201
"1791","CTT",200
"3302","landsat",200
"3793","mmap",200
"4594","prim",200
"4769","R2wd",200
"6018","tableone",200
"1510","censReg",199
"1692","conjoint",199
"1908","dendroextras",199
"2208","ensembleBMA",199
"2723","gld",199
"3868","mrds",199
"4851","rcdd",199
"975","adimpro",198
"1031","analogue",198
"2699","ggmcmc",198
"2758","gmt",198
"2829","grpreg",198
"3977","NADA",198
"4563","poweRlaw",198
"6045","TDMR",198
"6191","TSclust",198
"1131","backtest",197
"1393","bqtl",197
"3668","Metrics",197
"3696","micEconAids",197
"4069","nnls",197
"1078","aroma.affymetrix",196
"4655","psychometric",196
"5761","spatial.tools",196
"2753","Gmisc",195
"3897","MTS",195
"5978","svMisc",195
"978","AdMit",194
"1115","audio",194
"2912","HDclassif",194
"3995","ncdf4",194
"986","agRee",193
"1061","approximator",193
"2716","GISTools",193
"4043","NISTnls",193
"5161","RMTstat",193
"1026","AMOEBA",192
"1256","bfast",192
"3550","marmap",192
"3610","Mcomp",192
"4569","ppcor",192
"4673","PVAClone",192
"6035","tawny.types",192
"6194","TSdbi",192
"6316","VineCopula",192
"6436","YaleToolkit",192
"1032","AnalyzeFMRI",191
"2951","highfrequency",191
"4224","oro.nifti",191
"5153","RMongo",191
"6137","topmodel",191
"1347","blockTools",190
"2017","diversitree",190
"2195","emulator",190
"2776","gpairs",190
"4430","phylobase",190
"4955","recommenderlab",190
"5377","Rz",190
"6273","VAR.etp",190
"6458","zipfR",190
"1141","barcode",189
"3028","HydroMe",189
"3050","IBrokers",189
"4567","PowerTOST",189
"4731","quantregForest",189
"4873","RcmdrPlugin.epack",189
"5249","RPMM",189
"6263","UScensus2010",189
"1214","Bchron",188
"1823","d3Network",188
"1876","DDD",188
"2804","graphicsQC",188
"2900","harvestr",188
"3706","midasr",188
"3951","MVN",188
"4065","NMOF",188
"4911","RcppExamples",188
"5313","Rssa",188
"5405","sapa",188
"5923","stsm.class",188
"1186","bayesSurv",187
"2151","eha",187
"3557","MasterBayes",187
"5035","Rfit",187
"5283","RSclient",187
"918","A3",186
"971","adephylo",186
"1198","BAYSTAR",186
"1904","demography",186
"2285","exams",186
"4577","prabclus",186
"1333","bizdays",185
"4074","nonlinearTseries",185
"925","abd",184
"1012","alphahull",184
"2696","gglasso",184
"2832","GSA",184
"3451","longmemo",184
"4156","OjaNP",184
